County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,Data as of date
Newton County,GA,155.71,11.3,54.1,2021-07-30
Oconee County,GA,168.82,21.7,54.1,2021-07-30
Oglethorpe County,GA,117.96,20.8,54.1,2021-07-30
Paulding County,GA,186.17,14.3,54.1,2021-07-30
Peach County,GA,228.71,7.5,54.1,2021-07-30
Pickens County,GA,217.85,9.6,54.1,2021-07-30
Pierce County,GA,503.47,18,54.1,2021-07-30
Pike County,GA,295.33,8.3,54.1,2021-07-30
Polk County,GA,157.23,7.5,54.1,2021-07-30
Pulaski County,GA,152.64,8,54.1,2021-07-30
Putnam County,GA,339.08,7.4,54.1,2021-07-30
Quitman County,GA,0.00,8.6,54.1,2021-07-30
Rabun County,GA,110.87,21.2,54.1,2021-07-30
Randolph County,GA,368.84,8,54.1,2021-07-30
Richmond County,GA,194.55,26.6,54.1,2021-07-30
Rockdale County,GA,215.63,11.3,54.1,2021-07-30
Schley County,GA,323.38,10.7,54.1,2021-07-30
Screven County,GA,286.41,26.3,54.1,2021-07-30
Seminole County,GA,160.69,7,54.1,2021-07-30
Spalding County,GA,275.85,9.4,54.1,2021-07-30
Stephens County,GA,115.72,6.7,54.1,2021-07-30
Stewart County,GA,498.41,13.8,54.1,2021-07-30
Sumter County,GA,176.13,29.1,54.1,2021-07-30
Talbot County,GA,suppressed,21.7,54.1,2021-07-30
Taliaferro County,GA,suppressed,12.2,54.1,2021-07-30
Tattnall County,GA,431.07,7.9,54.1,2021-07-30
Taylor County,GA,suppressed,20.6,54.1,2021-07-30
Telfair County,GA,233.29,12.7,54.1,2021-07-30
Terrell County,GA,187.55,14.1,54.1,2021-07-30
Thomas County,GA,283.46,15.2,54.1,2021-07-30
Tift County,GA,506.84,14,54.1,2021-07-30
Toombs County,GA,428.62,11.1,54.1,2021-07-30
Towns County,GA,91.38,7,54.1,2021-07-30
Treutlen County,GA,333.29,6.4,54.1,2021-07-30
Troup County,GA,254.57,14,54.1,2021-07-30
Turner County,GA,325.61,11.9,54.1,2021-07-30
Twiggs County,GA,295.57,6.2,54.1,2021-07-30
Union County,GA,106.07,8.1,54.1,2021-07-30
Upson County,GA,277.36,27.5,54.1,2021-07-30
Walker County,GA,182.05,16.7,54.1,2021-07-30
Walton County,GA,169.15,17,54.1,2021-07-30
Ware County,GA,330.22,16.3,54.1,2021-07-30
Warren County,GA,247.43,10.4,54.1,2021-07-30
Washington County,GA,117.80,7.7,54.1,2021-07-30
Wayne County,GA,274.00,23,54.1,2021-07-30
Webster County,GA,suppressed,12,54.1,2021-07-30
Wheeler County,GA,318.27,4.9,54.1,2021-07-30
White County,GA,220.79,6.2,54.1,2021-07-30
Whitfield County,GA,133.81,15.3,54.1,2021-07-30
Wilcox County,GA,231.62,7.5,54.1,2021-07-30
Wilkes County,GA,suppressed,11.4,54.1,2021-07-30
Wilkinson County,GA,156.35,13.7,54.1,2021-07-30
Worth County,GA,177.80,10,54.1,2021-07-30
Hawaii County,HI,175.17,N/A,0,2021-07-30
Honolulu County,HI,110.10,N/A,0,2021-07-30
Kalawao County,HI,0.00,N/A,0,2021-07-30
Kauai County,HI,53.95,N/A,0,2021-07-30
Maui County,HI,126.63,N/A,0,2021-07-30
Ada County,ID,140.58,46,97.7,2021-07-30
Adams County,ID,279.46,33.1,97.7,2021-07-30
Bannock County,ID,92.25,36.6,97.7,2021-07-30
Bear Lake County,ID,suppressed,34.3,97.7,2021-07-30
Benewah County,ID,172.08,36,97.7,2021-07-30
Bingham County,ID,51.27,32.4,97.7,2021-07-30
Blaine County,ID,52.13,62.6,97.7,2021-07-30
Boise County,ID,166.01,25.1,97.7,2021-07-30
Bonner County,ID,78.71,32.6,97.7,2021-07-30
Bonneville County,ID,83.99,35.6,97.7,2021-07-30
Boundary County,ID,suppressed,25.4,97.7,2021-07-30
Butte County,ID,suppressed,32.5,97.7,2021-07-30
Camas County,ID,0.00,30.7,97.7,2021-07-30
Canyon County,ID,120.08,29.8,97.7,2021-07-30
Caribou County,ID,suppressed,27.3,97.7,2021-07-30
Cassia County,ID,83.23,24.3,97.7,2021-07-30
Clark County,ID,0.00,28,97.7,2021-07-30
Clearwater County,ID,114.21,31.9,97.7,2021-07-30
Custer County,ID,suppressed,35.7,97.7,2021-07-30
Elmore County,ID,167.21,30.9,97.7,2021-07-30
Franklin County,ID,suppressed,28.8,97.7,2021-07-30
Fremont County,ID,145.05,31.9,97.7,2021-07-30
Gem County,ID,99.38,28.9,97.7,2021-07-30
Gooding County,ID,92.23,28.9,97.7,2021-07-30
Idaho County,ID,suppressed,22.9,97.7,2021-07-30
Jefferson County,ID,97.08,27,97.7,2021-07-30
Jerome County,ID,90.12,28.2,97.7,2021-07-30
Kootenai County,ID,193.73,33,97.7,2021-07-30
Latah County,ID,69.81,43.8,97.7,2021-07-30
Lemhi County,ID,suppressed,36.5,97.7,2021-07-30
Lewis County,ID,286.61,36,97.7,2021-07-30
Lincoln County,ID,0.00,27.4,97.7,2021-07-30
Madison County,ID,110.26,35,97.7,2021-07-30
Minidoka County,ID,85.56,26.8,97.7,2021-07-30
Nez Perce County,ID,212.83,39.1,97.7,2021-07-30
Oneida County,ID,suppressed,29.8,97.7,2021-07-30
Owyhee County,ID,84.58,22.7,97.7,2021-07-30
Payette County,ID,87.68,23.2,97.7,2021-07-30
Power County,ID,suppressed,36.8,97.7,2021-07-30
Shoshone County,ID,256.17,33.3,97.7,2021-07-30
Teton County,ID,suppressed,46.4,97.7,2021-07-30
Twin Falls County,ID,239.42,32.5,97.7,2021-07-30
Valley County,ID,suppressed,47.9,97.7,2021-07-30
Washington County,ID,suppressed,29.6,97.7,2021-07-30
Adams County,IL,557.81,40.1,97.7,2021-07-30
Alexander County,IL,173.58,21.1,97.7,2021-07-30
Bond County,IL,146.11,38.6,97.7,2021-07-30
Boone County,IL,100.85,42.2,97.7,2021-07-30
Brown County,IL,197.63,26.4,97.7,2021-07-30
Bureau County,IL,76.62,40.4,97.7,2021-07-30
Calhoun County,IL,suppressed,42.5,97.7,2021-07-30
Carroll County,IL,76.90,47.5,97.7,2021-07-30
Cass County,IL,164.65,43.8,97.7,2021-07-30
Champaign County,IL,123.52,48.7,97.7,2021-07-30
Christian County,IL,154.78,34.3,97.7,2021-07-30
Clark County,IL,148.95,32.6,97.7,2021-07-30
Clay County,IL,257.89,27.5,97.7,2021-07-30
Clinton County,IL,223.63,40.2,97.7,2021-07-30
Coles County,IL,96.80,33.3,97.7,2021-07-30
Cook County,IL,56.75,50.8,97.7,2021-07-30
Crawford County,IL,230.35,36.9,97.7,2021-07-30
Cumberland County,IL,suppressed,26.7,97.7,2021-07-30
DeKalb County,IL,66.73,39.8,97.7,2021-07-30
De Witt County,IL,suppressed,38.3,97.7,2021-07-30
Douglas County,IL,138.71,34.4,97.7,2021-07-30
DuPage County,IL,70.86,56.6,97.7,2021-07-30
Edgar County,IL,116.54,32.8,97.7,2021-07-30
Edwards County,IL,344.02,29.2,97.7,2021-07-30
Effingham County,IL,102.92,32.5,97.7,2021-07-30
Fayette County,IL,103.11,22.2,97.7,2021-07-30
Ford County,IL,262.33,40.8,97.7,2021-07-30
Franklin County,IL,382.13,29.6,97.7,2021-07-30
Fulton County,IL,72.80,40.1,97.7,2021-07-30
Gallatin County,IL,766.36,38.6,97.7,2021-07-30
Greene County,IL,331.56,32,97.7,2021-07-30
Grundy County,IL,80.31,38.2,97.7,2021-07-30
Hamilton County,IL,480.53,27.3,97.7,2021-07-30
Hancock County,IL,231.53,35.5,97.7,2021-07-30
Hardin County,IL,suppressed,30.4,97.7,2021-07-30
Henderson County,IL,0.00,36.1,97.7,2021-07-30
Henry County,IL,85.87,44.9,97.7,2021-07-30
Iroquois County,IL,162.28,36.6,97.7,2021-07-30
Jackson County,IL,243.17,36.2,97.7,2021-07-30
Jasper County,IL,suppressed,27.2,97.7,2021-07-30
Jefferson County,IL,238.83,30.1,97.7,2021-07-30
Jersey County,IL,165.34,41.9,97.7,2021-07-30
Jo Daviess County,IL,suppressed,62.6,97.7,2021-07-30
Johnson County,IL,338.25,26.4,97.7,2021-07-30
Kane County,IL,53.91,46.5,97.7,2021-07-30
Kankakee County,IL,48.24,35.6,97.7,2021-07-30
Kendall County,IL,81.40,46.7,97.7,2021-07-30
Knox County,IL,62.38,41.7,97.7,2021-07-30
Lake County,IL,55.56,52.6,97.7,2021-07-30
LaSalle County,IL,76.38,40.6,97.7,2021-07-30
Lawrence County,IL,121.19,25.4,97.7,2021-07-30
Lee County,IL,52.79,40.6,97.7,2021-07-30
Livingston County,IL,56.10,33.6,97.7,2021-07-30
Logan County,IL,188.69,37.4,97.7,2021-07-30
McDonough County,IL,198.77,36.1,97.7,2021-07-30
McHenry County,IL,75.38,47.4,97.7,2021-07-30
McLean County,IL,96.78,46.8,97.7,2021-07-30
Macon County,IL,89.42,37.4,97.7,2021-07-30
Macoupin County,IL,171.39,39.2,97.7,2021-07-30
Madison County,IL,218.28,42.7,97.7,2021-07-30
Marion County,IL,403.17,31.3,97.7,2021-07-30
Marshall County,IL,166.11,41.9,97.7,2021-07-30
Mason County,IL,164.68,38.7,97.7,2021-07-30
Massac County,IL,413.88,26.8,97.7,2021-07-30
Menard County,IL,147.59,43.1,97.7,2021-07-30
Mercer County,IL,77.74,44.2,97.7,2021-07-30
Monroe County,IL,164.56,45.9,97.7,2021-07-30
Montgomery County,IL,126.70,35.4,97.7,2021-07-30
Morgan County,IL,166.38,38.7,97.7,2021-07-30
Moultrie County,IL,165.51,31.5,97.7,2021-07-30
Ogle County,IL,59.24,41.8,97.7,2021-07-30
Peoria County,IL,84.27,45.6,97.7,2021-07-30
Perry County,IL,172.12,30,97.7,2021-07-30
Piatt County,IL,122.37,42.9,97.7,2021-07-30
Pike County,IL,392.01,29.6,97.7,2021-07-30
Pope County,IL,suppressed,23.3,97.7,2021-07-30
Pulaski County,IL,299.91,26.4,97.7,2021-07-30
Putnam County,IL,suppressed,42.8,97.7,2021-07-30
Randolph County,IL,198.23,33.5,97.7,2021-07-30
Richland County,IL,206.28,34.3,97.7,2021-07-30
Rock Island County,IL,54.27,42.4,97.7,2021-07-30
St. Clair County,IL,232.97,42.8,97.7,2021-07-30
Saline County,IL,276.70,33.6,97.7,2021-07-30
Sangamon County,IL,146.40,49.5,97.7,2021-07-30
Schuyler County,IL,177.30,46,97.7,2021-07-30
Scott County,IL,343.36,31.1,97.7,2021-07-30
Shelby County,IL,115.56,29.6,97.7,2021-07-30
Stark County,IL,243.35,41.6,97.7,2021-07-30
Stephenson County,IL,58.43,46.5,97.7,2021-07-30
Tazewell County,IL,110.01,45,97.7,2021-07-30
Union County,IL,462.38,39.1,97.7,2021-07-30
Vermilion County,IL,178.20,28.4,97.7,2021-07-30
Wabash County,IL,468.75,36.3,97.7,2021-07-30
Warren County,IL,suppressed,37.7,97.7,2021-07-30
Washington County,IL,180.02,41.3,97.7,2021-07-30
Wayne County,IL,376.19,29.8,97.7,2021-07-30
White County,IL,509.71,35,97.7,2021-07-30
Whiteside County,IL,27.19,43.2,97.7,2021-07-30
Will County,IL,89.03,46.8,97.7,2021-07-30
Williamson County,IL,454.98,37.1,97.7,2021-07-30
Winnebago County,IL,82.46,41.6,97.7,2021-07-30
Woodford County,IL,78.01,41.9,97.7,2021-07-30
Adams County,IN,103.42,27.5,98.6,2021-07-30
Allen County,IN,133.93,42.6,98.6,2021-07-30
Bartholomew County,IN,72.81,48,98.6,2021-07-30
Benton County,IN,148.61,34.1,98.6,2021-07-30
Blackford County,IN,suppressed,36.8,98.6,2021-07-30
Boone County,IN,134.13,58.4,98.6,2021-07-30
Brown County,IN,suppressed,42,98.6,2021-07-30
Carroll County,IN,113.54,27.6,98.6,2021-07-30
Cass County,IN,71.64,34.7,98.6,2021-07-30
Clark County,IN,146.24,48.6,98.6,2021-07-30
Clay County,IN,114.39,43.9,98.6,2021-07-30
Clinton County,IN,151.24,37.5,98.6,2021-07-30
Crawford County,IN,113.45,29.7,98.6,2021-07-30
Daviess County,IN,41.98,25.7,98.6,2021-07-30
Dearborn County,IN,111.21,41.7,98.6,2021-07-30
Decatur County,IN,75.30,39.3,98.6,2021-07-30
DeKalb County,IN,158.71,34.9,98.6,2021-07-30
Delaware County,IN,72.72,39.7,98.6,2021-07-30
Dubois County,IN,79.56,45.7,98.6,2021-07-30
Elkhart County,IN,58.16,33.9,98.6,2021-07-30
Fayette County,IN,69.26,30.8,98.6,2021-07-30
Floyd County,IN,123.53,46.8,98.6,2021-07-30
Fountain County,IN,214.12,37.1,98.6,2021-07-30
Franklin County,IN,61.52,24.7,98.6,2021-07-30
Fulton County,IN,95.12,32.6,98.6,2021-07-30
Gibson County,IN,196.08,36.7,98.6,2021-07-30
Grant County,IN,91.23,34.2,98.6,2021-07-30
Greene County,IN,115.91,32.3,98.6,2021-07-30
Hamilton County,IN,96.74,59.2,98.6,2021-07-30
Hancock County,IN,117.70,55.7,98.6,2021-07-30
Harrison County,IN,157.97,40.9,98.6,2021-07-30
Hendricks County,IN,91.60,58.2,98.6,2021-07-30
Henry County,IN,66.71,41.9,98.6,2021-07-30
Howard County,IN,163.55,37.8,98.6,2021-07-30
Huntington County,IN,262.87,41.9,98.6,2021-07-30
Jackson County,IN,90.43,40.8,98.6,2021-07-30
Jasper County,IN,92.37,37,98.6,2021-07-30
Jay County,IN,suppressed,30.3,98.6,2021-07-30
Jefferson County,IN,207.38,45.3,98.6,2021-07-30
Jennings County,IN,82.93,31.7,98.6,2021-07-30
Johnson County,IN,91.04,47.2,98.6,2021-07-30
Knox County,IN,166.69,40.2,98.6,2021-07-30
Kosciusko County,IN,93.13,32.9,98.6,2021-07-30
LaGrange County,IN,37.87,18.7,98.6,2021-07-30
Lake County,IN,54.17,44.7,98.6,2021-07-30
LaPorte County,IN,55.51,46.3,98.6,2021-07-30
Lawrence County,IN,132.25,39.5,98.6,2021-07-30
Madison County,IN,108.82,41.6,98.6,2021-07-30
Marion County,IN,101.29,44,98.6,2021-07-30
Marshall County,IN,75.66,35.8,98.6,2021-07-30
Martin County,IN,suppressed,38.4,98.6,2021-07-30
Miami County,IN,90.10,32.4,98.6,2021-07-30
Monroe County,IN,88.93,51.4,98.6,2021-07-30
Montgomery County,IN,179.98,36.8,98.6,2021-07-30
Morgan County,IN,87.96,43.4,98.6,2021-07-30
Newton County,IN,92.96,24.9,98.6,2021-07-30
Noble County,IN,163.37,31.6,98.6,2021-07-30
Ohio County,IN,suppressed,59.6,98.6,2021-07-30
Orange County,IN,111.98,44.9,98.6,2021-07-30
Owen County,IN,177.89,34.8,98.6,2021-07-30
Parke County,IN,188.94,31.8,98.6,2021-07-30
Perry County,IN,146.07,45.3,98.6,2021-07-30
Pike County,IN,177.58,46.2,98.6,2021-07-30
Porter County,IN,45.78,46.8,98.6,2021-07-30
Posey County,IN,196.64,38.1,98.6,2021-07-30
Pulaski County,IN,89.05,36.4,98.6,2021-07-30
Putnam County,IN,82.50,34.5,98.6,2021-07-30
Randolph County,IN,48.65,34.9,98.6,2021-07-30
Ripley County,IN,81.20,37.5,98.6,2021-07-30
Rush County,IN,96.50,38.5,98.6,2021-07-30
St. Joseph County,IN,61.44,48.4,98.6,2021-07-30
Scott County,IN,226.20,34.8,98.6,2021-07-30
Shelby County,IN,84.96,46,98.6,2021-07-30
Spencer County,IN,108.50,35.8,98.6,2021-07-30
Starke County,IN,43.49,29.8,98.6,2021-07-30
Steuben County,IN,95.39,39.8,98.6,2021-07-30
Sullivan County,IN,188.69,38.3,98.6,2021-07-30
Switzerland County,IN,167.43,24.4,98.6,2021-07-30
Tippecanoe County,IN,121.08,48.1,98.6,2021-07-30
Tipton County,IN,151.84,36.9,98.6,2021-07-30
Union County,IN,suppressed,36.3,98.6,2021-07-30
Vanderburgh County,IN,179.11,46.5,98.6,2021-07-30
Vermillion County,IN,148.41,36.7,98.6,2021-07-30
Vigo County,IN,111.18,40.4,98.6,2021-07-30
Wabash County,IN,138.73,34.5,98.6,2021-07-30
Warren County,IN,suppressed,36.9,98.6,2021-07-30
Warrick County,IN,188.89,51.4,98.6,2021-07-30
Washington County,IN,114.14,32.1,98.6,2021-07-30
Wayne County,IN,48.57,38.2,98.6,2021-07-30
Wells County,IN,91.89,34.7,98.6,2021-07-30
White County,IN,82.98,45,98.6,2021-07-30
Whitley County,IN,114.83,39.1,98.6,2021-07-30
Adair County,IA,suppressed,40.7,97.4,2021-07-30
Adams County,IA,suppressed,44.2,97.4,2021-07-30
Allamakee County,IA,suppressed,42.9,97.4,2021-07-30
Appanoose County,IA,suppressed,37.9,97.4,2021-07-30
Audubon County,IA,suppressed,49.8,97.4,2021-07-30
Benton County,IA,58.49,47,97.4,2021-07-30
Black Hawk County,IA,129.55,48.1,97.4,2021-07-30
Boone County,IA,95.30,52.6,97.4,2021-07-30
Bremer County,IA,75.81,49.1,97.4,2021-07-30
Buchanan County,IA,51.95,43.5,97.4,2021-07-30
Buena Vista County,IA,66.26,49.4,97.4,2021-07-30
Butler County,IA,90.03,48.1,97.4,2021-07-30
Calhoun County,IA,175.84,48.8,97.4,2021-07-30
Carroll County,IA,49.59,51.6,97.4,2021-07-30
Cass County,IA,101.28,48.8,97.4,2021-07-30
Cedar County,IA,75.16,49.7,97.4,2021-07-30
Cerro Gordo County,IA,61.25,51,97.4,2021-07-30
Cherokee County,IA,suppressed,44.1,97.4,2021-07-30
Chickasaw County,IA,suppressed,44.4,97.4,2021-07-30
Clarke County,IA,suppressed,42.9,97.4,2021-07-30
Clay County,IA,suppressed,43.1,97.4,2021-07-30
Clayton County,IA,suppressed,41,97.4,2021-07-30
Clinton County,IA,32.31,43.9,97.4,2021-07-30
Crawford County,IA,160.52,42.9,97.4,2021-07-30
Dallas County,IA,70.62,52.2,97.4,2021-07-30
Davis County,IA,188.89,29.6,97.4,2021-07-30
Decatur County,IA,suppressed,32.9,97.4,2021-07-30
Delaware County,IA,94.06,43.7,97.4,2021-07-30
Des Moines County,IA,89.82,40.2,97.4,2021-07-30
Dickinson County,IA,suppressed,48.9,97.4,2021-07-30
Dubuque County,IA,32.88,53.8,97.4,2021-07-30
Emmet County,IA,suppressed,41.7,97.4,2021-07-30
Fayette County,IA,suppressed,44.5,97.4,2021-07-30
Floyd County,IA,suppressed,43.4,97.4,2021-07-30
Franklin County,IA,139.03,43.1,97.4,2021-07-30
Fremont County,IA,suppressed,41.6,97.4,2021-07-30
Greene County,IA,suppressed,47.4,97.4,2021-07-30
Grundy County,IA,suppressed,50.3,97.4,2021-07-30
Guthrie County,IA,suppressed,48.5,97.4,2021-07-30
Hamilton County,IA,162.46,51.1,97.4,2021-07-30
Hancock County,IA,suppressed,40.7,97.4,2021-07-30
Hardin County,IA,83.11,45.5,97.4,2021-07-30
Harrison County,IA,suppressed,41.9,97.4,2021-07-30
Henry County,IA,suppressed,42.9,97.4,2021-07-30
Howard County,IA,suppressed,41.7,97.4,2021-07-30
Humboldt County,IA,156.94,40.4,97.4,2021-07-30
Ida County,IA,145.77,40,97.4,2021-07-30
Iowa County,IA,suppressed,51.8,97.4,2021-07-30
Jackson County,IA,suppressed,43.7,97.4,2021-07-30
Jasper County,IA,59.16,47.2,97.4,2021-07-30
Jefferson County,IA,54.66,39.5,97.4,2021-07-30
Johnson County,IA,39.04,60.8,97.4,2021-07-30
Jones County,IA,suppressed,49.4,97.4,2021-07-30
Keokuk County,IA,suppressed,38.2,97.4,2021-07-30
Kossuth County,IA,202.52,44.3,97.4,2021-07-30
Lee County,IA,127.76,40.9,97.4,2021-07-30
Linn County,IA,52.49,54.2,97.4,2021-07-30
Louisa County,IA,suppressed,41.4,97.4,2021-07-30
Lucas County,IA,suppressed,37.6,97.4,2021-07-30
Lyon County,IA,suppressed,33.3,97.4,2021-07-30
Madison County,IA,suppressed,43.5,97.4,2021-07-30
Mahaska County,IA,117.67,34.8,97.4,2021-07-30
Marion County,IA,96.23,42.5,97.4,2021-07-30
Marshall County,IA,55.88,51.2,97.4,2021-07-30
Mills County,IA,suppressed,43.6,97.4,2021-07-30
Mitchell County,IA,suppressed,40.1,97.4,2021-07-30
Monona County,IA,suppressed,44.9,97.4,2021-07-30
Monroe County,IA,suppressed,38.1,97.4,2021-07-30
Montgomery County,IA,suppressed,45.3,97.4,2021-07-30
Muscatine County,IA,84.38,48.6,97.4,2021-07-30
O'Brien County,IA,suppressed,42.1,97.4,2021-07-30
Osceola County,IA,suppressed,38.6,97.4,2021-07-30
Page County,IA,suppressed,43.6,97.4,2021-07-30
Palo Alto County,IA,suppressed,41.9,97.4,2021-07-30
Plymouth County,IA,suppressed,42.5,97.4,2021-07-30
Pocahontas County,IA,suppressed,43.3,97.4,2021-07-30
Polk County,IA,66.10,52.8,97.4,2021-07-30
Pottawattamie County,IA,92.27,44.8,97.4,2021-07-30
Poweshiek County,IA,suppressed,48.2,97.4,2021-07-30
Ringgold County,IA,suppressed,42.4,97.4,2021-07-30
Sac County,IA,suppressed,43,97.4,2021-07-30
Scott County,IA,60.14,47.8,97.4,2021-07-30
Shelby County,IA,suppressed,49.3,97.4,2021-07-30
Sioux County,IA,40.17,33.8,97.4,2021-07-30
Story County,IA,99.88,51.8,97.4,2021-07-30
Tama County,IA,suppressed,50.4,97.4,2021-07-30
Taylor County,IA,0.00,38.8,97.4,2021-07-30
Union County,IA,0.00,41.5,97.4,2021-07-30
Van Buren County,IA,suppressed,33.6,97.4,2021-07-30
Wapello County,IA,102.95,39.2,97.4,2021-07-30
Warren County,IA,44.69,47.7,97.4,2021-07-30
Washington County,IA,54.63,46.9,97.4,2021-07-30
Wayne County,IA,suppressed,33.9,97.4,2021-07-30
Webster County,IA,206.11,46.2,97.4,2021-07-30
Winnebago County,IA,125.56,43.5,97.4,2021-07-30
Winneshiek County,IA,suppressed,51.9,97.4,2021-07-30
Woodbury County,IA,57.22,43.2,97.4,2021-07-30
Worth County,IA,suppressed,42.2,97.4,2021-07-30
Wright County,IA,167.17,46.7,97.4,2021-07-30
Allen County,KS,339.56,33.7,93.4,2021-07-30
Anderson County,KS,139.98,32.2,93.4,2021-07-30
Atchison County,KS,572.39,32.6,93.4,2021-07-30
Barber County,KS,suppressed,36.6,93.4,2021-07-30
Barton County,KS,139.65,32.2,93.4,2021-07-30
Bourbon County,KS,639.88,27.5,93.4,2021-07-30
Brown County,KS,324.13,45.5,93.4,2021-07-30
Butler County,KS,170.38,34.7,93.4,2021-07-30
Chase County,KS,suppressed,35.4,93.4,2021-07-30
Chautauqua County,KS,suppressed,32.4,93.4,2021-07-30
Cherokee County,KS,406.24,32,93.4,2021-07-30
Cheyenne County,KS,suppressed,35.4,93.4,2021-07-30
Clark County,KS,suppressed,37.8,93.4,2021-07-30
Clay County,KS,262.43,42.8,93.4,2021-07-30
Cloud County,KS,suppressed,35.8,93.4,2021-07-30
Coffey County,KS,suppressed,38.9,93.4,2021-07-30
Comanche County,KS,suppressed,36.3,93.4,2021-07-30
Cowley County,KS,206.26,36.1,93.4,2021-07-30
Crawford County,KS,525.53,35.8,93.4,2021-07-30
Decatur County,KS,suppressed,31.4,93.4,2021-07-30
Dickinson County,KS,205.78,40.7,93.4,2021-07-30
Doniphan County,KS,473.68,32.5,93.4,2021-07-30
Douglas County,KS,101.42,50,93.4,2021-07-30
Edwards County,KS,suppressed,36.7,93.4,2021-07-30
Elk County,KS,0.00,25.5,93.4,2021-07-30
Ellis County,KS,38.52,37.4,93.4,2021-07-30
Ellsworth County,KS,suppressed,43.9,93.4,2021-07-30
Finney County,KS,49.36,28.5,93.4,2021-07-30
Ford County,KS,107.08,30,93.4,2021-07-30
Franklin County,KS,336.67,37.6,93.4,2021-07-30
Geary County,KS,183.14,45.4,93.4,2021-07-30
Gove County,KS,0.00,39.1,93.4,2021-07-30
Graham County,KS,0.00,61.4,93.4,2021-07-30
Grant County,KS,265.73,32.8,93.4,2021-07-30
Gray County,KS,167.00,28.4,93.4,2021-07-30
Greeley County,KS,0.00,39.6,93.4,2021-07-30
Greenwood County,KS,351.05,39.5,93.4,2021-07-30
Hamilton County,KS,suppressed,28,93.4,2021-07-30
Harper County,KS,suppressed,36.3,93.4,2021-07-30
Harvey County,KS,98.75,35,93.4,2021-07-30
Haskell County,KS,suppressed,27.3,93.4,2021-07-30
Hodgeman County,KS,suppressed,36.3,93.4,2021-07-30
Jackson County,KS,174.63,49.5,93.4,2021-07-30
Jefferson County,KS,173.29,42,93.4,2021-07-30
Jewell County,KS,0.00,37.5,93.4,2021-07-30
Johnson County,KS,192.56,58.2,93.4,2021-07-30
Kearny County,KS,suppressed,36.8,93.4,2021-07-30
Kingman County,KS,223.71,35.9,93.4,2021-07-30
Kiowa County,KS,suppressed,37,93.4,2021-07-30
Labette County,KS,540.32,36.3,93.4,2021-07-30
Lane County,KS,suppressed,33.7,93.4,2021-07-30
Leavenworth County,KS,336.36,45.5,93.4,2021-07-30
Lincoln County,KS,suppressed,35.3,93.4,2021-07-30
Linn County,KS,556.53,27.1,93.4,2021-07-30
Logan County,KS,suppressed,37.4,93.4,2021-07-30
Lyon County,KS,93.39,42.9,93.4,2021-07-30
McPherson County,KS,108.61,41.9,93.4,2021-07-30
Marion County,KS,84.15,37.7,93.4,2021-07-30
Marshall County,KS,206.04,50.1,93.4,2021-07-30
Meade County,KS,suppressed,29.9,93.4,2021-07-30
Miami County,KS,166.49,37,93.4,2021-07-30
Mitchell County,KS,suppressed,43.1,93.4,2021-07-30
Montgomery County,KS,238.78,32.9,93.4,2021-07-30
Morris County,KS,302.49,44,93.4,2021-07-30
Morton County,KS,suppressed,29.8,93.4,2021-07-30
Nemaha County,KS,215.03,41.1,93.4,2021-07-30
Neosho County,KS,437.31,17.7,93.4,2021-07-30
Ness County,KS,suppressed,39.1,93.4,2021-07-30
Norton County,KS,suppressed,40.7,93.4,2021-07-30
Osage County,KS,144.21,37.8,93.4,2021-07-30
Osborne County,KS,suppressed,33.2,93.4,2021-07-30
Ottawa County,KS,210.38,31.5,93.4,2021-07-30
Pawnee County,KS,0.00,41.9,93.4,2021-07-30
Phillips County,KS,suppressed,34.4,93.4,2021-07-30
Pottawatomie County,KS,233.77,29.9,93.4,2021-07-30
Pratt County,KS,109.12,37.3,93.4,2021-07-30
Rawlins County,KS,suppressed,32.6,93.4,2021-07-30
Reno County,KS,112.91,38.5,93.4,2021-07-30
Republic County,KS,suppressed,41.3,93.4,2021-07-30
Rice County,KS,suppressed,33.8,93.4,2021-07-30
Riley County,KS,282.90,30.7,93.4,2021-07-30
Rooks County,KS,suppressed,36.9,93.4,2021-07-30
Rush County,KS,suppressed,39.4,93.4,2021-07-30
Russell County,KS,suppressed,32.7,93.4,2021-07-30
Saline County,KS,339.33,37.5,93.4,2021-07-30
Scott County,KS,suppressed,33.4,93.4,2021-07-30
Sedgwick County,KS,137.59,36.9,93.4,2021-07-30
Seward County,KS,186.67,31.7,93.4,2021-07-30
Shawnee County,KS,192.79,46.7,93.4,2021-07-30
Sheridan County,KS,0.00,28.9,93.4,2021-07-30
Sherman County,KS,suppressed,32.4,93.4,2021-07-30
Smith County,KS,suppressed,37,93.4,2021-07-30
Stafford County,KS,240.62,34.4,93.4,2021-07-30
Stanton County,KS,suppressed,36.6,93.4,2021-07-30
Stevens County,KS,182.32,22.6,93.4,2021-07-30
Sumner County,KS,91.96,31.6,93.4,2021-07-30
Thomas County,KS,suppressed,32.4,93.4,2021-07-30
Trego County,KS,suppressed,30.3,93.4,2021-07-30
Wabaunsee County,KS,245.27,35.9,93.4,2021-07-30
Wallace County,KS,suppressed,29.3,93.4,2021-07-30
Washington County,KS,suppressed,40,93.4,2021-07-30
Wichita County,KS,suppressed,38.3,93.4,2021-07-30
Wilson County,KS,211.14,33.3,93.4,2021-07-30
